date,rbo_20__rbo_20,rbo_20__rbo_50,rbo_20__rbo_100,rbo_20__rtt_5020,rbo_20__rsma_50100,rbo_20__rsma_100150,rbo_20__rsma_50100150,rbo_20__rema_50100,rbo_20__rema_100150,rbo_20__rema_50100150,rbo_50__rbo_20,rbo_50__rbo_50,rbo_50__rbo_100,rbo_50__rtt_5020,rbo_50__rsma_50100,rbo_50__rsma_100150,rbo_50__rsma_50100150,rbo_50__rema_50100,rbo_50__rema_100150,rbo_50__rema_50100150,rbo_100__rbo_20,rbo_100__rbo_50,rbo_100__rbo_100,rbo_100__rtt_5020,rbo_100__rsma_50100,rbo_100__rsma_100150,rbo_100__rsma_50100150,rbo_100__rema_50100,rbo_100__rema_100150,rbo_100__rema_50100150,rtt_5020__rbo_20,rtt_5020__rbo_50,rtt_5020__rbo_100,rtt_5020__rtt_5020,rtt_5020__rsma_50100,rtt_5020__rsma_100150,rtt_5020__rsma_50100150,rtt_5020__rema_50100,rtt_5020__rema_100150,rtt_5020__rema_50100150,rsma_50100__rbo_20,rsma_50100__rbo_50,rsma_50100__rbo_100,rsma_50100__rtt_5020,rsma_50100__rsma_50100,rsma_50100__rsma_100150,rsma_50100__rsma_50100150,rsma_50100__rema_50100,rsma_50100__rema_100150,rsma_50100__rema_50100150,rsma_100150__rbo_20,rsma_100150__rbo_50,rsma_100150__rbo_100,rsma_100150__rtt_5020,rsma_100150__rsma_50100,rsma_100150__rsma_100150,rsma_100150__rsma_50100150,rsma_100150__rema_50100,rsma_100150__rema_100150,rsma_100150__rema_50100150,rsma_50100150__rbo_20,rsma_50100150__rbo_50,rsma_50100150__rbo_100,rsma_50100150__rtt_5020,rsma_50100150__rsma_50100,rsma_50100150__rsma_100150,rsma_50100150__rsma_50100150,rsma_50100150__rema_50100,rsma_50100150__rema_100150,rsma_50100150__rema_50100150,rema_50100__rbo_20,rema_50100__rbo_50,rema_50100__rbo_100,rema_50100__rtt_5020,rema_50100__rsma_50100,rema_50100__rsma_100150,rema_50100__rsma_50100150,rema_50100__rema_50100,rema_50100__rema_100150,rema_50100__rema_50100150,rema_100150__rbo_20,rema_100150__rbo_50,rema_100150__rbo_100,rema_100150__rtt_5020,rema_100150__rsma_50100,rema_100150__rsma_100150,rema_100150__rsma_50100150,rema_100150__rema_50100,rema_100150__rema_100150,rema_100150__rema_50100150,rema_50100150__rbo_20,rema_50100150__rbo_50,rema_50100150__rbo_100,rema_50100150__rtt_5020,rema_50100150__rsma_50100,rema_50100150__rsma_100150,rema_50100150__rsma_50100150,rema_50100150__rema_50100,rema_50100150__rema_100150,rema_50100150__rema_50100150,rbo_20,rbo_50,rbo_100,rtt_5020,rsma_50100,rsma_100150,rsma_50100150,rema_50100,rema_100150,rema_50100150,rrg,ticker
2026-02-17,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1.0,1.0,1.0,1,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,AMD
2026-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,ORCL
2026-02-17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,ADBE
2026-02-17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,AMZN
2026-02-17,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,-1,0,0,1.0,1.0,-1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,META
2026-02-17,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,MSFT
2026-02-17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,PYPL
2026-02-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,GILD
2026-02-17,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,1.0,1.0,1.0,1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,PEP
2026-02-17,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,NFLX
2026-02-17,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,-1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TSLA
2026-02-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,AAPL
2026-02-17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,GOOGL
2026-02-17,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,0,1.0,1.0,1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,COST
